date,nav,reward,selected
2016-02-05T00:00:00.000000000,1.0,0.0,"NSE_ABB,NSE_SOLARINDS,NSE_ONGC,NSE_BHARTIARTL,NSE_DLF,NSE_TVSMOTOR,NSE_ADANIPORTS,NSE_CIPLA"
2016-02-08T00:00:00.000000000,1.0,0.0,"NSE_ABB,NSE_SOLARINDS,NSE_JSWSTEEL,NSE_ONGC,NSE_BHARTIARTL,NSE_DLF,NSE_CIPLA,NSE_ADANIPORTS"
2016-02-09T00:00:00.000000000,1.0,0.0,"NSE_ABB,NSE_ONGC,NSE_JSWSTEEL,NSE_BHARTIARTL,NSE_SOLARINDS,NSE_DLF,NSE_CIPLA"
2016-02-10T00:00:00.000000000,1.0,0.0,"NSE_TITAN,NSE_ONGC,NSE_ABB,NSE_JSWSTEEL,NSE_BHARTIARTL,NSE_SOLARINDS"
2016-02-11T00:00:00.000000000,1.0,0.0,"NSE_TITAN,NSE_JSWSTEEL,NSE_SOLARINDS,NSE_INDHOTEL,NSE_TVSMOTOR,NSE_BHARTIARTL,NSE_ONGC,NSE_ABB"
2016-02-12T00:00:00.000000000,1.0,0.0,"NSE_JSWSTEEL,NSE_SOLARINDS,NSE_TITAN,NSE_ONGC,NSE_TVSMOTOR,NSE_BHARTIARTL,NSE_ABB,NSE_INDHOTEL"
2016-02-15T00:00:00.000000000,1.0,0.0,"NSE_SOLARINDS,NSE_TVSMOTOR,NSE_JSWSTEEL,NSE_ABB,NSE_BHARTIARTL,NSE_INDHOTEL,NSE_TITAN,NSE_ONGC"
2016-02-16T00:00:00.000000000,1.0,0.0,"NSE_TVSMOTOR,NSE_SOLARINDS,NSE_PIDILITIND,NSE_ONGC,NSE_JSWSTEEL,NSE_ABB,NSE_INDHOTEL,NSE_ADANIPOWER,NSE_BHARTIARTL"
2016-02-17T00:00:00.000000000,1.0,0.0,"NSE_ADANIPOWER,NSE_TVSMOTOR,NSE_SOLARINDS,NSE_ONGC,NSE_INDHOTEL,NSE_JSWSTEEL,NSE_PIDILITIND,NSE_ABB,NSE_BHARTIARTL"
2016-02-18T00:00:00.000000000,1.0,0.0,"NSE_JSWSTEEL,NSE_TVSMOTOR,NSE_SOLARINDS,NSE_PIDILITIND,NSE_INDHOTEL,NSE_ONGC,NSE_ADANIPOWER,NSE_ABB,NSE_BHARTIARTL,NSE_ADANIPORTS"
2016-02-19T00:00:00.000000000,1.0,0.0,"NSE_ADANIPOWER,NSE_SOLARINDS,NSE_PIDILITIND,NSE_INDHOTEL,NSE_JSWSTEEL,NSE_TVSMOTOR,NSE_ONGC,NSE_ABB,NSE_ADANIPORTS,NSE_BHARTIARTL"
2016-02-22T00:00:00.000000000,1.0,0.0,"NSE_ADANIPOWER,NSE_TVSMOTOR,NSE_SOLARINDS,NSE_JSWSTEEL,NSE_INDHOTEL,NSE_ONGC,NSE_PIDILITIND,NSE_ABB,NSE_ADANIPORTS,NSE_BHARTIARTL"
2016-02-23T00:00:00.000000000,1.0,0.0,"NSE_ADANIPOWER,NSE_ONGC,NSE_TVSMOTOR,NSE_SOLARINDS,NSE_ADANIPORTS,NSE_ABB,NSE_PIDILITIND,NSE_BHARTIARTL,NSE_INDHOTEL,NSE_JSWSTEEL"
2016-02-24T00:00:00.000000000,1.0,0.0,"NSE_ONGC,NSE_ADANIPOWER,NSE_SOLARINDS,NSE_ADANIPORTS,NSE_ABB,NSE_BHARTIARTL,NSE_JSWSTEEL,NSE_TVSMOTOR,NSE_PIDILITIND"
2016-02-25T00:00:00.000000000,1.0,0.0,"NSE_ADANIPOWER,NSE_ONGC,NSE_ABB,NSE_ADANIPORTS,NSE_BHARTIARTL,NSE_PIDILITIND,NSE_SOLARINDS,NSE_JSWSTEEL"
2016-02-26T00:00:00.000000000,1.0,0.0,"NSE_ADANIPOWER,NSE_ABB,NSE_PIDILITIND,NSE_ADANIPORTS,NSE_ONGC,NSE_BHARTIARTL,NSE_JSWSTEEL,NSE_SOLARINDS"
2016-02-29T00:00:00.000000000,1.0,0.0,"NSE_ADANIPOWER,NSE_ONGC,NSE_PIDILITIND,NSE_ABB,NSE_ADANIPORTS,NSE_JSWSTEEL,NSE_INDHOTEL,NSE_BHARTIARTL,NSE_SOLARINDS"
2016-03-01T00:00:00.000000000,1.0,0.0,"NSE_ADANIPOWER,NSE_TVSMOTOR,NSE_PIDILITIND,NSE_ONGC,NSE_JSWSTEEL,NSE_BHARTIARTL,NSE_SOLARINDS,NSE_ABB,NSE_ADANIPORTS"
2016-03-02T00:00:00.000000000,1.0,0.0,"NSE_ADANIPOWER,NSE_TVSMOTOR,NSE_BHARTIARTL,NSE_JSWSTEEL,NSE_PIDILITIND,NSE_SOLARINDS,NSE_ONGC"
2016-03-03T00:00:00.000000000,1.0,0.0,"NSE_TVSMOTOR,NSE_ADANIPOWER,NSE_PIDILITIND,NSE_BHARTIARTL,NSE_JSWSTEEL,NSE_SOLARINDS,NSE_ONGC"
2016-03-04T00:00:00.000000000,1.0,0.0,"NSE_PIDILITIND,NSE_ADANIPOWER,NSE_SOLARINDS,NSE_ULTRACEMCO,NSE_BHARTIARTL,NSE_JSWSTEEL,NSE_TVSMOTOR,NSE_ONGC"
2016-03-08T00:00:00.000000000,1.0,0.0,"NSE_PIDILITIND,NSE_ADANIPOWER,NSE_SOLARINDS,NSE_ONGC,NSE_JSWSTEEL,NSE_BHARTIARTL,NSE_ULTRACEMCO,NSE_TVSMOTOR"
2016-03-09T00:00:00.000000000,1.0,0.0,"NSE_PIDILITIND,NSE_ULTRACEMCO,NSE_ONGC,NSE_SOLARINDS,NSE_ADANIPOWER,NSE_BHARTIARTL,NSE_TVSMOTOR,NSE_JSWSTEEL"
2016-03-10T00:00:00.000000000,1.0,0.0,"NSE_PIDILITIND,NSE_SOLARINDS,NSE_ULTRACEMCO,NSE_ONGC,NSE_TVSMOTOR,NSE_BHARTIARTL,NSE_JSWSTEEL,NSE_ADANIPORTS,NSE_ADANIPOWER"
2016-03-11T00:00:00.000000000,1.0,0.0,"NSE_PIDILITIND,NSE_SOLARINDS,NSE_TVSMOTOR,NSE_ONGC,NSE_ULTRACEMCO,NSE_BHARTIARTL,NSE_JSWSTEEL,NSE_CIPLA,NSE_ADANIPORTS"
2016-03-14T00:00:00.000000000,1.0,0.0,"NSE_PIDILITIND,NSE_ONGC,NSE_SOLARINDS,NSE_BHARTIARTL,NSE_JSWSTEEL,NSE_ULTRACEMCO,NSE_TVSMOTOR,NSE_ADANIPORTS,NSE_CIPLA"
2016-03-15T00:00:00.000000000,1.0,0.0,"NSE_PIDILITIND,NSE_ONGC,NSE_SOLARINDS,NSE_JSWSTEEL,NSE_BHARTIARTL,NSE_ULTRACEMCO,NSE_TVSMOTOR,NSE_CIPLA,NSE_ADANIPORTS"
2016-03-16T00:00:00.000000000,1.0,0.0,"NSE_PIDILITIND,NSE_ONGC,NSE_SOLARINDS,NSE_BHARTIARTL,NSE_JSWSTEEL,NSE_TVSMOTOR,NSE_ADANIPORTS"
2016-03-17T00:00:00.000000000,1.0,0.0,"NSE_PIDILITIND,NSE_SOLARINDS,NSE_ONGC,NSE_BHARTIARTL,NSE_JSWSTEEL,NSE_TVSMOTOR,NSE_GODREJCP"
2016-03-18T00:00:00.000000000,1.0,0.0,"NSE_PIDILITIND,NSE_SOLARINDS,NSE_BHARTIARTL,NSE_ONGC,NSE_JSWSTEEL,NSE_GODREJCP,NSE_TCS"
2016-03-21T00:00:00.000000000,1.0,0.0,"NSE_PIDILITIND,NSE_SOLARINDS,NSE_ONGC,NSE_BHARTIARTL,NSE_JSWSTEEL,NSE_ULTRACEMCO,NSE_TCS"
2016-03-22T00:00:00.000000000,1.0,0.0,"NSE_PIDILITIND,NSE_SOLARINDS,NSE_BHARTIARTL,NSE_ONGC,NSE_JSWSTEEL,NSE_TCS,NSE_ULTRACEMCO"
2016-03-23T00:00:00.000000000,1.0,0.0,"NSE_PIDILITIND,NSE_SOLARINDS,NSE_BHARTIARTL,NSE_ONGC,NSE_JSWSTEEL,NSE_ULTRACEMCO,NSE_HDFCBANK"
2016-03-28T00:00:00.000000000,1.0,0.0,"NSE_PIDILITIND,NSE_SOLARINDS,NSE_BHARTIARTL,NSE_ONGC,NSE_TVSMOTOR,NSE_JSWSTEEL,NSE_ULTRACEMCO,NSE_HDFCBANK"
2016-03-29T00:00:00.000000000,1.0,0.0,"NSE_SOLARINDS,NSE_TVSMOTOR,NSE_BHARTIARTL,NSE_PIDILITIND,NSE_ONGC,NSE_JSWSTEEL,NSE_ABB"
2016-03-30T00:00:00.000000000,1.0,0.0,"NSE_ONGC,NSE_SOLARINDS,NSE_BHARTIARTL,NSE_PIDILITIND,NSE_JSWSTEEL,NSE_TVSMOTOR,NSE_ADANIPORTS"
2016-03-31T00:00:00.000000000,1.0,0.0,"NSE_SOLARINDS,NSE_BHARTIARTL,NSE_PIDILITIND,NSE_CIPLA,NSE_ONGC,NSE_KOTAKBANK,NSE_TVSMOTOR,NSE_ADANIPORTS"
2016-04-01T00:00:00.000000000,1.0,0.0,"NSE_PIDILITIND,NSE_SOLARINDS,NSE_BHARTIARTL,NSE_CIPLA,NSE_ONGC,NSE_ADANIPORTS,NSE_KOTAKBANK"
2016-04-04T00:00:00.000000000,1.0,0.0,"NSE_PIDILITIND,NSE_SOLARINDS,NSE_ADANIPOWER,NSE_CIPLA,NSE_BHARTIARTL,NSE_ADANIPORTS,NSE_ONGC,NSE_KOTAKBANK"
2016-04-05T00:00:00.000000000,1.0,0.0,"NSE_PIDILITIND,NSE_SOLARINDS,NSE_ADANIPOWER,NSE_CIPLA,NSE_BHARTIARTL,NSE_KOTAKBANK,NSE_ADANIPORTS,NSE_ONGC"
2016-04-06T00:00:00.000000000,1.0,0.0,"NSE_PIDILITIND,NSE_SOLARINDS,NSE_ADANIPOWER,NSE_CIPLA,NSE_BHARTIARTL,NSE_KOTAKBANK,NSE_ADANIPORTS"
2016-04-07T00:00:00.000000000,1.0,0.0,"NSE_PIDILITIND,NSE_SOLARINDS,NSE_CIPLA,NSE_BHARTIARTL,NSE_ADANIPORTS,NSE_KOTAKBANK,NSE_BAJAJ_AUTO,NSE_GODREJCP,NSE_ADANIPOWER"
2016-04-08T00:00:00.000000000,1.0,0.0,"NSE_PIDILITIND,NSE_SOLARINDS,NSE_CIPLA,NSE_BHARTIARTL,NSE_ADANIPOWER,NSE_ADANIPORTS,NSE_BAJAJ_AUTO,NSE_GODREJCP"
